 Snow White And The Seven Dwarfs 
 Pinocchio 
 Fantasia 
 Dumbo 
 Bambi 
 Saludos Amigos 
 The Three Caballeros 
 Make Mine Music 
 Fun And Fancy Free 
 Melody Time 
 The Adventures Of Ichabod And Mr. Toad 
 Cinderella 
 Alice In Wonderland 
Peter Pan
Lady And The Tramp
Sleeping Beauty
101 Dalmatians
The Sword In The Stone
The Jungle Book
The Aristocats
Robin Hood
The Many Adventures Of Winnie The Pooh
The Rescuers
The Fox And The Hound
The Black Cauldron
The Great Mouse Detective
Oliver & Company
The Little Mermaid
The Rescuers Down Under
Beauty And The Beast
Aladdin
The Lion King
Pocahontas
The Hunchback Of Notre Dame
Hercules
Mulan
Tarzan
Fantasia 2000
The Emperor's New Groove
Atlantis: The Lost Empire
Lilo And Stitch
Treasure Planet
Brother Bear
Home On The Range
