ALT
Altoona Mountain City
ANA
Los Angeles Angels of Anaheim
ARI
Arizona Diamondbacks
ATH
Philadelphia Athletics
ATL
Atlanta Braves
BAL
Baltimore Orioles
BFB
Buffalo Bisons
BFL
Buffalo Bisons
BLC
Baltimore Canaries
BLO
Baltimore Orioles
BLT
Baltimore Terrapins
BLU
Baltimore Monumentals
BNA
Boston Red Stockings
BOS
Boston Red Sox
BRA
Brooklyn Atlantics
BRD
Boston Reds
BRG
Brooklyn Gladiators
BRS
Boston Reds
BTT
Brooklyn Tip-Tops
BUF
Buffalo Bisons
BWW
Brooklyn Ward's Wonders
CBK
Columbus Buckeyes
CBL
Cleveland Blues
CEN
Philadelphia Centennials
CFC
Cleveland Forest Citys
CHC
Chicago Cubs
CHH
Chicago Whales
CHP
Chicago Pirates
CHW
Chicago White Sox
CIN
Cincinnati Reds
CKK
Cincinnati Kelly's Killers
CLE
Cleveland Indians
CLI
Cleveland Infants
CLS
Columbus Solons
CLV
Cleveland Spiders
CNA
Chicago White Stockings
CNR
Cincinnati Reds
COL
Colorado Rockies
COR
Cincinnati Outlaw Reds
CPI
Chicago/Pittsburgh (Union League)
DET
Detroit Tigers
DTN
Detroit Wolverines
ECK
Brooklyn Eckfords
FLA
Florida Marlins
HAR
Hartford Dark Blues
HNA
Hartford Dark Blues
HOU
Houston Astros
IBL
Indianapolis Blues
IHO
Indianapolis Hoosiers
IND
Indianapolis Hoosiers
KCC
Kansas City Cowboys
KCN
Kansas City Cowboys
KCP
Kansas City Packers
KCR
Kansas City Royals
KCU
Kansas City Cowboys
KEK
Fort Wayne Kekiongas
LAD
Los Angeles Dodgers
LGR
Louisville Grays
LOU
Louisville Colonels
MAN
Middletown Mansfields
MAR
Baltimore Marylands
MIL
Milwaukee Brewers
MIN
Minnesota Twins
MLA
Milwaukee Brewers
MLG
Milwaukee Grays
MLU
Milwaukee Brewers
NAT
Washington Nationals
NEW
Newark Pepper
NHV
New Haven Elm Citys
NNA
New York Mutuals
NYI
New York Giants
NYM
New York Mets
NYP
New York Metropolitans
NYU
New York Mutuals
NYY
New York Yankees
OAK
Oakland Athletics
OLY
Washington Olympics
PBB
Pittsburgh Burghers
PBS
Pittsburgh Rebels
PHA
Philadelphia Athletics
PHI
Philadelphia Phillies
PHK
Philadelphia Keystones
PHQ
Philadelphia Athletics
PIT
Pittsburgh Pirates
PNA
Philadelphia Athletics
PRO
Providence Grays
PWS
Philadelphia White Stockings
RES
Elizabeth Resolutes
RIC
Richmond Virginians
ROC
Rochester Broncos
ROK
Rockford Forest Citys
SBS
St. Louis Brown Stockings
SDP
San Diego Padres
SEA
Seattle Mariners
SFG
San Francisco Giants
SLI
St. Louis Terriers
SLM
St. Louis Maroons
SLR
St. Louis Red Stockings
SNA
St. Louis Brown Stockings
STL
St. Louis Cardinals
STP
St. Paul Apostles
SYR
Syracuse Stars
SYS
Syracuse Stars
TBD
Tampa Bay Rays
TEX
Texas Rangers
TLM
Toledo Maumees
TOL
Toledo Blue Stockings
TOR
Toronto Blue Jays
TRO
Troy Haymakers
TRT
Troy Trojans
WAS
Washington Senators
WBL
Washington Blue Legs
WES
Keokuk Westerns
WIL
Wilmington Quicksteps
WNA
Washington Nationals
WNL
Washington Nationals
WNT
Washington Nationals
WOR
Worcester Ruby Legs
WSN
Washington Nationals
WST
Washington Statesmen
